# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Web Edition
# File: K:\altera\12.1sp1\ModExp 2.0\ModExp.csv
# Generated on: Sat Jul 13 10:34:23 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
altera_reserved_tck,Input,,,,PIN_K2,,,,
altera_reserved_tdi,Input,,,,PIN_K5,,,,
altera_reserved_tdo,Output,,,,PIN_L5,,,,
altera_reserved_tms,Input,,,,PIN_K6,,,,
clk,Input,PIN_M1,1,B1_N0,PIN_M1,,,,
e_buf[63],Input,PIN_F1,2,B2_N1,PIN_F1,,,,
e_buf[62],Input,PIN_F4,2,B2_N0,PIN_F4,,,,
e_buf[61],Input,PIN_H4,2,B2_N0,PIN_H4,,,,
e_buf[60],Input,PIN_D2,2,B2_N0,PIN_D2,,,,
e_buf[59],Input,PIN_G3,2,B2_N0,PIN_G3,,,,
e_buf[58],Input,PIN_G5,2,B2_N0,PIN_G5,,,,
e_buf[57],Input,PIN_D1,2,B2_N0,PIN_D1,,,,
e_buf[56],Input,PIN_C2,2,B2_N0,PIN_C2,,,,
e_buf[55],Input,PIN_H5,2,B2_N0,PIN_H5,,,,
e_buf[54],Input,PIN_G6,2,B2_N0,PIN_G6,,,,
e_buf[53],Input,PIN_E2,2,B2_N1,PIN_E2,,,,
e_buf[52],Input,PIN_C1,2,B2_N0,PIN_C1,,,,
e_buf[51],Input,PIN_F3,2,B2_N0,PIN_F3,,,,
e_buf[50],Input,PIN_E4,2,B2_N0,PIN_E4,,,,
e_buf[49],Input,PIN_E1,2,B2_N1,PIN_E1,,,,
e_buf[48],Input,PIN_H6,2,B2_N0,PIN_H6,,,,
e_buf[47],Input,PIN_F12,4,B4_N1,PIN_F12,,,,
e_buf[46],Input,PIN_B11,3,B3_N0,PIN_B11,,,,
e_buf[45],Input,PIN_D11,3,B3_N0,PIN_D11,,,,
